            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459611.500000000, A.D. 2022-Feb-01 00:00:00.0000,  4.434958221235063E+09, -5.123381074998156E+08, -3.201242991561187E+08,  6.952885007363500E-01,  5.036567416267985E+00,  2.044134874042920E+00,  1.493004881467503E+04,  4.475916032211412E+09, -3.378687373050510E-02,
2459612.500000000, A.D. 2022-Feb-02 00:00:00.0000,  4.435018261378385E+09, -5.119029654647186E+08, -3.199477187734444E+08,  6.943998060240074E-01,  5.036115828843139E+00,  2.043461550496587E+00,  1.493003906696232E+04,  4.475913109920662E+09, -3.398807450930521E-02,
2459613.500000000, A.D. 2022-Feb-03 00:00:00.0000,  4.435078198433949E+09, -5.114678651761938E+08, -3.197711641700854E+08,  6.930172815226789E-01,  5.035705784927980E+00,  2.043603637541418E+00,  1.493002916760663E+04,  4.475910142168485E+09, -3.474184252877593E-02,
2459614.500000000, A.D. 2022-Feb-04 00:00:00.0000,  4.435138024795275E+09, -5.110327789841564E+08, -3.195945623852929E+08,  6.919685074169850E-01,  5.035834506073638E+00,  2.044458079448566E+00,  1.493001906349380E+04,  4.475907113031665E+09, -3.527739610456498E-02,
2459615.500000000, A.D. 2022-Feb-05 00:00:00.0000,  4.435197795380199E+09, -5.105976583360268E+08, -3.194178855775460E+08,  6.917353785754617E-01,  5.036440912261325E+00,  2.045182816836669E+00,  1.493000891103099E+04,  4.475904069399885E+09, -3.504983097159004E-02,
2459616.500000000, A.D. 2022-Feb-06 00:00:00.0000,  4.435257570615511E+09, -5.101624842079967E+08, -3.192411799513112E+08,  6.919527993634064E-01,  5.036968857471251E+00,  2.045071352612221E+00,  1.492999891376545E+04,  4.475901072295074E+09, -3.430697920553389E-02,
2459617.500000000, A.D. 2022-Feb-07 00:00:00.0000,  4.435317353691202E+09, -5.097272868415250E+08, -3.190645177694403E+08,  6.917881245727786E-01,  5.036942992169914E+00,  2.044284631780900E+00,  1.492998911097633E+04,  4.475898133492829E+09, -3.383144501627647E-02,
2459618.500000000, A.D. 2022-Feb-08 00:00:00.0000,  4.435377087241874E+09, -5.092921143708251E+08, -3.188879223426111E+08,  6.908072675720568E-01,  5.036463298915936E+00,  2.043684058743694E+00,  1.492997933686137E+04,  4.475895203286880E+09, -3.412646468398379E-02,
2459619.500000000, A.D. 2022-Feb-09 00:00:00.0000,  4.435436712910249E+09, -5.088569828073199E+08, -3.187113437905802E+08,  6.894231268213942E-01,  5.036101158089517E+00,  2.043938158267442E+00,  1.492996939268836E+04,  4.475892222098812E+09, -3.489558333420092E-02,
2459620.500000000, A.D. 2022-Feb-10 00:00:00.0000,  4.435496231925202E+09, -5.084218594419838E+08, -3.185347108529178E+08,  6.884663508893570E-01,  5.036304225868486E+00,  2.044826971094106E+00,  1.492995925314850E+04,  4.475889182341232E+09, -3.535065672771728E-02,
2459621.500000000, A.D. 2022-Feb-11 00:00:00.0000,  4.435555703839355E+09, -5.079866967713200E+08, -3.183580048500741E+08,  6.883245000264585E-01,  5.036933126045035E+00,  2.045471066615283E+00,  1.492994909268143E+04,  4.475886136309835E+09, -3.502891748009997E-02,
2459622.500000000, A.D. 2022-Feb-12 00:00:00.0000,  4.435615184700075E+09, -5.075514818316936E+08, -3.181812790911761E+08,  6.885379338476473E-01,  5.037407336468482E+00,  2.045246559806071E+00,  1.492993910435725E+04,  4.475883141885579E+09, -3.427556198195941E-02,
2459623.500000000, A.D. 2022-Feb-13 00:00:00.0000,  4.435674668876790E+09, -5.071162496374365E+08, -3.180046035174323E+08,  6.882764585926265E-01,  5.037306128322077E+00,  2.044431545665000E+00,  1.492992929943171E+04,  4.475880202442850E+09, -3.388562154138542E-02,
